"Monsoon" "Upper cloud"
"Prunus phaeosticta (Hance) Maxim. var. ilicifolia Yamam." 0 2
"Prunus spinulosa Sieb et Zucc." 0 8
"Prunus taiwaniana Hayata" 0 4
"Prunus takasagomontana Sasaki" 0 1
"Prunus transarisanensis Hayata" 0 5
"Prunus zippeliana Miq." 0 0
"Pseudotsuga wilsoniana Hayata" 0 5
"Psychotria rubra (Lour.) Poir." 95 0
"Pueraria lobata (Willd.) Ohwi subsp. thomsonii (Benth.) Ohashi & Tateishi" 0 0
"Pyrenaria shinkoensis (Hayata) Keng" 72 6
"Quercus spinosa A. David ex Fr." 0 4
"Quercus tatakaensis Tomiya" 0 3
"Radermachia sinica (Hance) Hemsl." 2 0
"Randia canthioides Champ. ex Benth." 0 0
"Randia cochinchinensis (Lour.) Merr." 77 0
"Rhamnus crenata Sieb. & Zucc." 0 2
"Rhamnus formosana Matsum." 0 1
"Rhamnus nakaharae (Hayata) Hayata" 1 0
"Rhamnus pilushanensis Liu & Wang" 0 4
"Rhaphiolepis indica (L.) Lindl. ex Ker var. tashiroi Hayata ex Matsum. & Hayata" 0 3
"Rhaphiolepis indica (L.) Lindl. ex Ker var. umbellata (Thunb. ex Murray) Ohashi" 1 0
"Rhododendron breviperulatum Hayata" 0 0
"Rhododendron chilanshanense Kurashige" 0 2
"Rhododendron formosanum Hemsl." 2 41
"Rhododendron kawakamii Hayata" 0 0
"Rhododendron leptosanthum Hayata" 33 83
"Rhododendron mariesii Hemsl. & Wilson" 1 0
"Rhododendron noriakianum T. Suzuki" 0 1
"Rhododendron oldhamii Maxim." 9 1
"Rhododendron pachysanthum Hayata" 0 3
"Rhododendron pseudochrysanthum Hayata" 1 7
"Rhododendron rubropilosum Hayata" 0 10
"Rhus javanica L. var. roxburghiana (DC.) Rehd. & Willson" 0 0
"Rhus succedanea L." 12 1
"Rubus formosensis Ktze." 0 0
"Rubus kawakamii Hayata" 0 1
"Rubus mesogaeus Focke" 1 0
"Sabia swinhoei Hemsl." 1 0
"Sabia transarisanensis Hayata" 0 0
"Sageretia thea (Osbeck) Johnst." 0 0
"Salix warburgii O. Seemen" 0 0
