"upper_cloud" "lower_cloud" "lowland" "monsoon"
"Pittosporum pentandrum (Blanco) Merr." 0 0 1 0
"Platycarya strobilacea Sieb. & Zucc." 0 2 0 0
"Podocarpus fasciculus de Laubenfels" 4 10 0 0
"Pourthiaea beauverdiana (Schneider) Hatusima var. notabilis (Rehder & Wilson) Hatusima" 31 161 2 56
"Pourthiaea lucida Decaisne" 6 5 3 101
"Pourthiaea villosa (Thunb. ex Murray) Decne. var. parvifolia (Pritz.) Iketani & Ohashi" 20 27 0 109
"Premna microphylla Turcz." 0 0 148 24
"Prunus buergeriana Miq." 12 8 0 0
"Prunus campanulata Maxim." 58 40 4 41
"Prunus matuurai Sasaki" 17 7 0 1
"Prunus phaeosticta (Hance) Maxim." 471 1932 130 2282
"Prunus phaeosticta (Hance) Maxim. var. ilicifolia Yamam." 4 0 0 0
"Prunus spinulosa Sieb et Zucc." 60 153 0 0
"Prunus taiwaniana Hayata" 18 11 0 0
"Prunus takasagomontana Sasaki" 3 0 1 0
"Prunus transarisanensis Hayata" 10 0 0 0
"Prunus zippeliana Miq." 0 0 24 0
"Pseudotsuga wilsoniana Hayata" 16 4 0 0
"Psychotria rubra (Lour.) Poir." 0 0 1679 2232
"Pueraria lobata (Willd.) Ohwi subsp. thomsonii (Benth.) Ohashi & Tateishi" 0 0 1 0
"Pyrenaria shinkoensis (Hayata) Keng" 27 74 9 455
"Quercus spinosa A. David ex Fr." 7 17 0 0
"Quercus tatakaensis Tomiya" 10 16 0 0
"Radermachia sinica (Hance) Hemsl." 0 1 29 2
"Randia canthioides Champ. ex Benth." 0 0 2 0
"Randia cochinchinensis (Lour.) Merr." 0 0 28 597
"Rhamnus crenata Sieb. & Zucc." 5 4 2 0
"Rhamnus formosana Matsum." 2 0 0 0
"Rhamnus nakaharae (Hayata) Hayata" 0 0 0 1
"Rhamnus pilushanensis Liu & Wang" 8 19 0 0
"Rhaphiolepis indica (L.) Lindl. ex Ker var. tashiroi Hayata ex Matsum. & Hayata" 16 0 0 0
"Rhaphiolepis indica (L.) Lindl. ex Ker var. umbellata (Thunb. ex Murray) Ohashi" 0 0 0 1
"Rhododendron breviperulatum Hayata" 0 23 0 0
"Rhododendron chilanshanense Kurashige" 45 0 0 0
"Rhododendron formosanum Hemsl." 3362 64 0 18
"Rhododendron kawakamii Hayata" 0 3 0 0
"Rhododendron leptosanthum Hayata" 2361 1498 4 278
"Rhododendron mariesii Hemsl. & Wilson" 0 0 0 8
"Rhododendron noriakianum T. Suzuki" 6 0 0 0
"Rhododendron oldhamii Maxim." 1 0 21 149
